SEO — Primary Page Map,,,,,,,,,
"One row per page. Use the Primary keyword in title, H1, and URL slug. Use Secondary keywords in H2s, body copy, and image alt text.",,,,,,,,,
,,,,,,,,,
Page (URL Slug),Primary Keyword,US Vol,KD,CPC,Intent,Secondary Keywords (use in H2 / body),Recommended Title Tag (≤60 chars target),Recommended H1,Priority
/,dentist southampton pa,170,Easy,$8.92,Local,"dentist 18966 (40), 

best dentist southampton pa, 

southampton family dental","Family Dentist in Southampton, PA | Hampton Family Dental","Modern Family Dentistry in Southampton, PA",High
/dental-implants,dental implants southampton pa,50,Medium,$0,Commercial,"tooth implant southampton, 

single tooth implant pa, 

all on 4 southampton",Dental Implants Southampton PA | Hampton Family Dental,"Restore Your Smile with Dental Implants in Southampton, PA",High
hampton-family-dental/emergency-care,emergency dentist southampton pa,Low vol,Easy,$0,Local,"same day dentist southampton, dental emergency 18966, urgent dentist near me","Emergency Dentist Southampton, PA | Same-Day Care | Hampton","Same-Day Emergency Dentist in Southampton, PA",High
/invisalign,invisalign southampton pa,50,Easy,$0,Commercial,"clear aligners southampton, invisalign cost pa, teen invisalign southampton","Invisalign in Southampton, PA | Clear Aligners | Hampton Dental","Straighten Your Smile with Invisalign in Southampton, PA",High
/cosmetic-dentistry,cosmetic dentist southampton pa,Low vol,Easy,$0,Commercial,"smile makeover southampton, veneers southampton pa, teeth whitening southampton","Cosmetic Dentist Southampton, PA | Veneers & Whitening | Hampton","Cosmetic Dentistry in Southampton, PA",High
/general-dentistry,general dentistry southampton pa,Low vol,Easy,$0,Local,"preventive dentistry southampton, teeth cleaning southampton, checkup dentist 18966","General & Preventive Dentistry Southampton, PA | Hampton",General & Preventive Dentistry for the Whole Family,High
/teeth-whitening,teeth whitening southampton pa,Low vol,Easy,$0,Commercial,"professional whitening southampton, zoom whitening pa, in-office whitening southampton","Professional Teeth Whitening in Southampton, PA | Hampton",Brighter Smile in One Visit — Teeth Whitening in Southampton,Medium
/root-canal,root canal southampton pa,Low vol,Easy,$0,Local,"root canal treatment pa, endodontics southampton, painless root canal southampton","Root Canal Treatment in Southampton, PA | Hampton Dental","Gentle Root Canal Treatment in Southampton, PA",Medium
/tooth-extraction,tooth extraction southampton pa,Low vol,Easy,$0,Local,"wisdom tooth removal southampton, surgical extraction pa, same day extraction","Tooth Extraction in Southampton, PA | Hampton Family Dental","Gentle, Same-Day Tooth Extractions in Southampton, PA",Medium
/dentures,dentures southampton pa,Low vol,Easy,$0,Commercial,"partial dentures southampton, full dentures pa, implant supported dentures southampton","Dentures in Southampton, PA | Partial & Full | Hampton Dental","Comfortable, Natural-Looking Dentures in Southampton, PA",Medium
/veneers,veneers southampton pa,Low vol,Medium,$0,Commercial,"porcelain veneers southampton, dental veneers pa, smile makeover veneers","Porcelain Veneers in Southampton, PA | Hampton Dental","Porcelain Veneers in Southampton, PA",Medium
/sedation-dentistry,sedation dentist southampton pa,Low vol,Easy,$0,Local,"sleep dentistry southampton, anxiety free dentist pa, iv sedation dentist southampton","Sedation Dentistry in Southampton, PA | Anxiety-Free Care",Relax in the Chair — Sedation Dentistry in Southampton,Low
/new-patients,new patient dentist southampton,Low vol,Easy,$0,Local,"dentist accepting new patients southampton, new patient special pa","New Patients | Hampton Family Dental in Southampton, PA",Welcome New Patients to Hampton Family Dental,High
/insurance,dental insurance southampton pa,Low vol,Easy,$0,Informational,"dentist accepting delta dental southampton, aetna dentist pa, in network dentist 18966",Insurance & Payment Options | Hampton Family Dental,Insurance & Payment Options,Medium
/about,dr [name] dentist southampton,Low vol,Easy,$0,Branded,"best dentist southampton pa, family dentist southampton, hampton dental team","Meet Our Team | Hampton Family Dental Southampton, PA",Meet the Hampton Family Dental Team,Medium
/contact,dentist phone southampton pa,Low vol,Easy,$0,Local,"book dentist appointment southampton, dental office hours 18966","Contact Us | Hampton Family Dental Southampton, PA",Book Your Appointment,Medium
